,N,var,Ut01,NBC_Acc,ACRA_Acc,NB_Acc,NBC_AvgUt,ACRA_AvgUt,NB_AvgUt,NBC_FPR,ACRA_FPR,NB_FPR,NBC_FNR,ACRA_FNR,NB_FNR
0,0.0,10.0,0.0,0.8801042571676803,0.9035621198957429,0.8271068635968722,0.8801042571676803,0.9035621198957429,0.8271068635968722,0.059322033898305086,0.031073446327683617,0.059322033898305086,0.21670428893905191,0.20090293453724606,0.3544018058690745
1,0.0,10.0,-2.0,0.8809730668983493,0.8983492615117289,0.8279756733275413,0.7280625543006082,0.7784535186794093,0.6220677671589921,0.05508474576271186,0.029661016949152543,0.05508474576271186,0.22121896162528218,0.21670428893905191,0.35891647855530473
2,0.0,10.0,-5.0,0.8809730668983493,0.8992180712423979,0.8262380538662033,0.6542137271937446,0.735881841876629,0.5447437011294527,0.043785310734463276,0.025423728813559324,0.043785310734463276,0.23927765237020315,0.22121896162528218,0.38148984198645597
3,0.0,10.0,-10.0,0.8731537793223284,0.895742832319722,0.8175499565595135,0.527367506516073,0.6507384882710686,0.4161598609904431,0.03954802259887006,0.025423728813559324,0.03954802259887006,0.26636568848758463,0.23024830699774265,0.4108352144469526
4,0.0,20.0,0.0,0.8801042571676803,0.895742832319722,0.8271068635968722,0.8801042571676803,0.895742832319722,0.8271068635968722,0.059322033898305086,0.0423728813559322,0.059322033898305086,0.21670428893905191,0.20316027088036118,0.3544018058690745
5,0.0,20.0,-2.0,0.8809730668983493,0.893136403127715,0.8279756733275413,0.7280625543006082,0.7628149435273676,0.6220677671589921,0.05508474576271186,0.038135593220338986,0.05508474576271186,0.22121896162528218,0.21670428893905191,0.35891647855530473
6,0.0,20.0,-5.0,0.8809730668983493,0.894005212858384,0.8262380538662033,0.6542137271937446,0.7046046915725456,0.5447437011294527,0.043785310734463276,0.03389830508474576,0.043785310734463276,0.23927765237020315,0.22121896162528218,0.38148984198645597
7,0.0,20.0,-10.0,0.8731537793223284,0.8905299739357081,0.8175499565595135,0.527367506516073,0.6012163336229366,0.4161598609904431,0.03954802259887006,0.03248587570621469,0.03954802259887006,0.26636568848758463,0.2325056433408578,0.4108352144469526
8,0.0,30.0,0.0,0.8801042571676803,0.894874022589053,0.8271068635968722,0.8801042571676803,0.894874022589053,0.8271068635968722,0.059322033898305086,0.04519774011299435,0.059322033898305086,0.21670428893905191,0.20090293453724606,0.3544018058690745
9,0.0,30.0,-2.0,0.8809730668983493,0.8905299739357081,0.8279756733275413,0.7280625543006082,0.7558644656820156,0.6220677671589921,0.05508474576271186,0.04096045197740113,0.05508474576271186,0.22121896162528218,0.21896162528216703,0.35891647855530473
10,0.0,30.0,-5.0,0.8809730668983493,0.893136403127715,0.8262380538662033,0.6542137271937446,0.6993918331885317,0.5447437011294527,0.043785310734463276,0.03531073446327684,0.043785310734463276,0.23927765237020315,0.22121896162528218,0.38148984198645597
11,0.0,30.0,-10.0,0.8731537793223284,0.8879235447437012,0.8175499565595135,0.527367506516073,0.5960034752389227,0.4161598609904431,0.03954802259887006,0.03248587570621469,0.03954802259887006,0.26636568848758463,0.23927765237020315,0.4108352144469526
12,0.0,40.0,0.0,0.8801042571676803,0.893136403127715,0.8271068635968722,0.8801042571676803,0.893136403127715,0.8271068635968722,0.059322033898305086,0.046610169491525424,0.059322033898305086,0.21670428893905191,0.20316027088036118,0.3544018058690745
13,0.0,40.0,-2.0,0.8809730668983493,0.889661164205039,0.8279756733275413,0.7280625543006082,0.7532580364900087,0.6220677671589921,0.05508474576271186,0.0423728813559322,0.05508474576271186,0.22121896162528218,0.21896162528216703,0.35891647855530473
14,0.0,40.0,-5.0,0.8809730668983493,0.891398783666377,0.8262380538662033,0.6542137271937446,0.6889661164205039,0.5447437011294527,0.043785310734463276,0.038135593220338986,0.043785310734463276,0.23927765237020315,0.22121896162528218,0.38148984198645597
15,0.0,40.0,-10.0,0.8731537793223284,0.8844483058210252,0.8175499565595135,0.527367506516073,0.573414422241529,0.4161598609904431,0.03954802259887006,0.03531073446327684,0.03954802259887006,0.26636568848758463,0.24379232505643342,0.4108352144469526
16,0.0,50.0,0.0,0.8801042571676803,0.8922675933970461,0.8271068635968722,0.8801042571676803,0.8922675933970461,0.8271068635968722,0.059322033898305086,0.04519774011299435,0.059322033898305086,0.21670428893905191,0.2076749435665914,0.3544018058690745
17,0.0,50.0,-2.0,0.8809730668983493,0.8905299739357081,0.8279756733275413,0.7280625543006082,0.7558644656820156,0.6220677671589921,0.05508474576271186,0.04096045197740113,0.05508474576271186,0.22121896162528218,0.21896162528216703,0.35891647855530473
18,0.0,50.0,-5.0,0.8809730668983493,0.889661164205039,0.8262380538662033,0.6542137271937446,0.682015638575152,0.5447437011294527,0.043785310734463276,0.03954802259887006,0.043785310734463276,0.23927765237020315,0.2234762979683973,0.38148984198645597
19,0.0,50.0,-10.0,0.8731537793223284,0.8835794960903562,0.8175499565595135,0.527367506516073,0.5716768027801912,0.4161598609904431,0.03954802259887006,0.03531073446327684,0.03954802259887006,0.26636568848758463,0.24604966139954854,0.4108352144469526
20,0.0,60.0,0.0,0.8801042571676803,0.8887923544743701,0.8271068635968722,0.8801042571676803,0.8887923544743701,0.8271068635968722,0.059322033898305086,0.05084745762711865,0.059322033898305086,0.21670428893905191,0.2076749435665914,0.3544018058690745
21,0.0,60.0,-2.0,0.8809730668983493,0.8879235447437012,0.8279756733275413,0.7280625543006082,0.7480451781059948,0.6220677671589921,0.05508474576271186,0.04519774011299435,0.05508474576271186,0.22121896162528218,0.21896162528216703,0.35891647855530473
