,var,Ut01,NBC_Acc,ACRA_Acc,NB_Acc,NBC_AvgUt,ACRA_AvgUt,NB_AvgUt,NBC_FPR,ACRA_FPR,NB_FPR,NBC_FNR,ACRA_FNR,NB_FNR
0,1.0,-10.0,0.8840139009556907,0.895047784535187,0.7204170286707212,0.5201563857515203,0.6329278887923546,0.1929626411815812,0.04566392977494939,0.02905401605757001,0.04566392977494939,0.22307585740790242,0.220627368761741,0.6404178686299615
1,1.0,-5.0,0.888010425716768,0.8957428323197221,0.7246741963509991,0.6536924413553432,0.7080799304952216,0.3270199826238054,0.05066517724090612,0.03463106177245788,0.05066517724090612,0.205373526384591,0.21032395581209493,0.6220357345227154
2,1.0,-1.0,0.8898349261511729,0.8968722849695918,0.7238053866203301,0.7796698523023458,0.7937445699391834,0.4476107732406603,0.06547344086161942,0.04831948562018666,0.06547344086161942,0.17819715849701603,0.1866201403668201,0.6015707310756297
3,1.0,0.0,0.8898349261511729,0.8968722849695918,0.7238053866203301,0.8898349261511729,0.8968722849695918,0.7238053866203301,0.06547344086161942,0.04831948562018666,0.06547344086161942,0.17819715849701603,0.1866201403668201,0.6015707310756297
4,10.0,-10.0,0.8840139009556907,0.8949609035621201,0.7204170286707212,0.5201563857515203,0.6366637706342312,0.1929626411815812,0.04566392977494939,0.02831560848975395,0.04566392977494939,0.22307585740790242,0.22193841488876007,0.6404178686299615
5,10.0,-5.0,0.888010425716768,0.8961772371850565,0.7246741963509991,0.6536924413553432,0.711033883579496,0.3270199826238054,0.05066517724090612,0.03374960751108867,0.05066517724090612,0.205373526384591,0.21054596825738908,0.6220357345227154
6,10.0,-1.0,0.8898349261511729,0.8966116420503909,0.7238053866203301,0.7796698523023458,0.7932232841007819,0.4476107732406603,0.06547344086161942,0.04803345935212251,0.06547344086161942,0.17819715849701603,0.18766299555842197,0.6015707310756297
7,10.0,0.0,0.8898349261511729,0.8966116420503909,0.7238053866203301,0.8898349261511729,0.8966116420503909,0.7238053866203301,0.06547344086161942,0.04803345935212251,0.06547344086161942,0.17819715849701603,0.18766299555842197,0.6015707310756297
8,20.0,-10.0,0.8840139009556907,0.8940920938314509,0.7204170286707212,0.5201563857515203,0.6278887923544744,0.1929626411815812,0.04566392977494939,0.029630650428283316,0.04566392977494939,0.22307585740790242,0.2221296384943628,0.6404178686299615
9,20.0,-5.0,0.888010425716768,0.8956559513466551,0.7246741963509991,0.6536924413553432,0.7075586446568202,0.3270199826238054,0.05066517724090612,0.03478479806876207,0.05066517724090612,0.205373526384591,0.21032158452444533,0.6220357345227154
10,20.0,-1.0,0.8898349261511729,0.8954821894005214,0.7238053866203301,0.7796698523023458,0.7909643788010425,0.4476107732406603,0.06547344086161942,0.049171616307218474,0.06547344086161942,0.17819715849701603,0.1887917212831654,0.6015707310756297
11,20.0,0.0,0.8898349261511729,0.8954821894005214,0.7238053866203301,0.8898349261511729,0.8954821894005214,0.7238053866203301,0.06547344086161942,0.049171616307218474,0.06547344086161942,0.17819715849701603,0.1887917212831654,0.6015707310756297
12,30.0,-10.0,0.8840139009556907,0.8938314509122505,0.7204170286707212,0.5201563857515203,0.627367506516073,0.1929626411815812,0.04566392977494939,0.0296172861902822,0.04566392977494939,0.22307585740790242,0.22280171060293572,0.6404178686299615
