,N,var,Ut01,NBC_Acc,ACRA_Acc,NB_Acc,NBC_AvgUt,ACRA_AvgUt,NB_AvgUt,NBC_FPR,ACRA_FPR,NB_FPR,NBC_FNR,ACRA_FNR,NB_FNR
278,6.0,90.0,-5.0,0.8879235447437012,0.9052997393570807,0.6264118158123371,0.6472632493483927,0.737619461337967,0.12423979148566464,0.05300859598853868,0.03008595988538682,0.05300859598853868,0.20309050772626933,0.19426048565121412,0.8675496688741722
279,6.0,90.0,-10.0,0.8905299739357081,0.9044309296264118,0.629887054735013,0.5464813205907906,0.6681146828844483,0.02519548218940052,0.04297994269340974,0.025787965616045846,0.04297994269340974,0.2119205298013245,0.20309050772626933,0.8741721854304636
280,7.0,1.0,0.0,0.894874022589053,0.9044309296264118,0.6246741963509991,0.894874022589053,0.9044309296264118,0.6246741963509991,0.05649717514124294,0.04096045197740113,0.05649717514124294,0.18284424379232506,0.18284424379232506,0.8848758465011287
281,7.0,1.0,-1.0,0.894874022589053,0.9044309296264118,0.6246741963509991,0.789748045178106,0.8088618592528236,0.24934839270199827,0.05649717514124294,0.04096045197740113,0.05649717514124294,0.18284424379232506,0.18284424379232506,0.8848758465011287
282,7.0,1.0,-5.0,0.896611642050391,0.9079061685490878,0.6272806255430061,0.6959165942658557,0.7567332754126846,0.157254561251086,0.03954802259887006,0.02401129943502825,0.03954802259887006,0.2054176072234763,0.20090293453724606,0.9051918735891648
283,7.0,1.0,-10.0,0.8922675933970461,0.9079061685490878,0.629018245004344,0.5968722849695917,0.7298001737619462,0.07037358818418767,0.03389830508474576,0.015536723163841809,0.03389830508474576,0.22573363431151242,0.2144469525959368,0.909706546275395
284,7.0,10.0,0.0,0.894874022589053,0.9035621198957429,0.6246741963509991,0.894874022589053,0.9035621198957429,0.6246741963509991,0.05649717514124294,0.04096045197740113,0.05649717514124294,0.18284424379232506,0.18510158013544017,0.8848758465011287
285,7.0,10.0,-1.0,0.894874022589053,0.9035621198957429,0.6246741963509991,0.789748045178106,0.8071242397914856,0.24934839270199827,0.05649717514124294,0.04096045197740113,0.05649717514124294,0.18284424379232506,0.18510158013544017,0.8848758465011287
286,7.0,10.0,-5.0,0.896611642050391,0.9061685490877498,0.6272806255430061,0.6959165942658557,0.7463075586446568,0.157254561251086,0.03954802259887006,0.026836158192090395,0.03954802259887006,0.2054176072234763,0.20090293453724606,0.9051918735891648
287,7.0,10.0,-10.0,0.8922675933970461,0.9079061685490878,0.629018245004344,0.5968722849695917,0.7298001737619462,0.07037358818418767,0.03389830508474576,0.015536723163841809,0.03389830508474576,0.22573363431151242,0.2144469525959368,0.909706546275395
288,7.0,20.0,0.0,0.894874022589053,0.9018245004344049,0.6246741963509991,0.894874022589053,0.9018245004344049,0.6246741963509991,0.05649717514124294,0.0423728813559322,0.05649717514124294,0.18284424379232506,0.1873589164785553,0.8848758465011287
289,7.0,20.0,-1.0,0.894874022589053,0.9018245004344049,0.6246741963509991,0.789748045178106,0.8036490008688097,0.24934839270199827,0.05649717514124294,0.0423728813559322,0.05649717514124294,0.18284424379232506,0.1873589164785553,0.8848758465011287
290,7.0,20.0,-5.0,0.896611642050391,0.9105125977410947,0.6272806255430061,0.6959165942658557,0.7654213727193745,0.157254561251086,0.03954802259887006,0.022598870056497175,0.03954802259887006,0.2054176072234763,0.1963882618510158,0.9051918735891648
291,7.0,20.0,-10.0,0.8922675933970461,0.9087749782797567,0.629018245004344,0.5968722849695917,0.739357080799305,0.07037358818418767,0.03389830508474576,0.014124293785310734,0.03389830508474576,0.22573363431151242,0.2144469525959368,0.909706546275395
292,7.0,30.0,0.0,0.894874022589053,0.9009556907037359,0.6246741963509991,0.894874022589053,0.9009556907037359,0.6246741963509991,0.05649717514124294,0.04519774011299435,0.05649717514124294,0.18284424379232506,0.18510158013544017,0.8848758465011287
293,7.0,30.0,-1.0,0.894874022589053,0.9009556907037359,0.6246741963509991,0.789748045178106,0.8019113814074718,0.24934839270199827,0.05649717514124294,0.04519774011299435,0.05649717514124294,0.18284424379232506,0.18510158013544017,0.8848758465011287
294,7.0,30.0,-5.0,0.896611642050391,0.9079061685490878,0.6272806255430061,0.6959165942658557,0.7532580364900087,0.157254561251086,0.03954802259887006,0.025423728813559324,0.03954802259887006,0.2054176072234763,0.1986455981941309,0.9051918735891648
295,7.0,30.0,-10.0,0.8922675933970461,0.9079061685490878,0.629018245004344,0.5968722849695917,0.7298001737619462,0.07037358818418767,0.03389830508474576,0.015536723163841809,0.03389830508474576,0.22573363431151242,0.2144469525959368,0.909706546275395
296,7.0,40.0,0.0,0.894874022589053,0.9018245004344049,0.6246741963509991,0.894874022589053,0.9018245004344049,0.6246741963509991,0.05649717514124294,0.04519774011299435,0.05649717514124294,0.18284424379232506,0.18284424379232506,0.8848758465011287
297,7.0,40.0,-1.0,0.894874022589053,0.9018245004344049,0.6246741963509991,0.789748045178106,0.8036490008688097,0.24934839270199827,0.05649717514124294,0.04519774011299435,0.05649717514124294,0.18284424379232506,0.18284424379232506,0.8848758465011287
298,7.0,40.0,-5.0,0.896611642050391,0.9079061685490878,0.6272806255430061,0.6959165942658557,0.7567332754126846,0.157254561251086,0.03954802259887006,0.02401129943502825,0.03954802259887006,0.2054176072234763,0.20090293453724606,0.9051918735891648
299,7.0,40.0,-10.0,0.8922675933970461,0.9079061685490878,0.629018245004344,0.5968722849695917,0.7298001737619462,0.07037358818418767,0.03389830508474576,0.015536723163841809,0.03389830508474576,0.22573363431151242,0.2144469525959368,0.909706546275395
300,7.0,50.0,0.0,0.894874022589053,0.9018245004344049,0.6246741963509991,0.894874022589053,0.9018245004344049,0.6246741963509991,0.05649717514124294,0.04519774011299435,0.05649717514124294,0.18284424379232506,0.18284424379232506,0.8848758465011287
301,7.0,50.0,-1.0,0.894874022589053,0.9018245004344049,0.6246741963509991,0.789748045178106,0.8036490008688097,0.24934839270199827,0.05649717514124294,0.04519774011299435,0.05649717514124294,0.18284424379232506,0.18284424379232506,0.8848758465011287
302,7.0,50.0,-5.0,0.896611642050391,0.9079061685490878,0.6272806255430061,0.6959165942658557,0.7567332754126846,0.157254561251086,0.03954802259887006,0.02401129943502825,0.03954802259887006,0.2054176072234763,0.20090293453724606,0.9051918735891648
